,Review,Review_norm,review_tokens,review_tokens_SR
124,saya sudah pake harian di wajah saya jadi berminyak merah dan jadi beruntusan,saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan,"['saya', 'sudah', 'pakai', 'harian', 'di', 'wajah', 'saya', 'jadi', 'berminyak', 'merah', 'dan', 'jadi', 'beruntusan']","['pakai', 'harian', 'wajah', 'berminyak', 'merah', 'beruntusan']"
125,ga berbuih,enggak berbuih,"['enggak', 'berbuih']",['berbuih']
126,gak ada perubahan lapisan bibir menebal dan makin gelap bagusnya pas dipake doang,enggak ada perubahan lapisan bibir menebal dan makin gelap bagusnya pas dipakai doang,"['enggak', 'ada', 'perubahan', 'lapisan', 'bibir', 'menebal', 'dan', 'makin', 'gelap', 'bagusnya', 'pas', 'dipakai', 'doang']","['perubahan', 'lapisan', 'bibir', 'menebal', 'gelap', 'bagusnya', 'pas', 'dipakai', 'doang']"
127,awalnya kaget ada paketan cuma dibubble wrap doang pas dibaca ternyata dari azarine dong padahal biasanya pakai kardus sudah diduga kemasan bakalan penyok karena kurir sini emang pake kardus aja suka keteken mana lama pula ngirimnya semoga balik lagi kemasannya pakai kardus gak cuma bubble wrap polosan macam ini,awalnya kaget ada paketan cuma dibubble wrap doang pas dibaca ternyata dari azarine dong padahal biasanya pakai kardus sudah diduga kemasan bakalan penyok karena kurir sini memang pakai kardus saja suka keteken mana lama pula ngirimnya semoga balik lagi kemasannya pakai kardus enggak cuma bubble wrap polosan macam ini,"['awalnya', 'kaget', 'ada', 'paketan', 'cuma', 'dibubble', 'wrap', 'doang', 'pas', 'dibaca', 'ternyata', 'dari', 'azarine', 'dong', 'padahal', 'biasanya', 'pakai', 'kardus', 'sudah', 'diduga', 'kemasan', 'bakalan', 'penyok', 'karena', 'kurir', 'sini', 'memang', 'pakai', 'kardus', 'saja', 'suka', 'keteken', 'mana', 'lama', 'pula', 'ngirimnya', 'semoga', 'balik', 'lagi', 'kemasannya', 'pakai', 'kardus', 'enggak', 'cuma', 'bubble', 'wrap', 'polosan', 'macam', 'ini']","['kaget', 'paketan', 'dibubble', 'wrap', 'doang', 'pas', 'dibaca', 'azarine', 'pakai', 'kardus', 'diduga', 'kemasan', 'penyok', 'kurir', 'pakai', 'kardus', 'suka', 'keteken', 'ngirimnya', 'semoga', 'kemasannya', 'pakai', 'kardus', 'bubble', 'wrap', 'polosan']"
128,facial cleanser nya tumpah sampe habis sampe dus nya basah ternyata packing nya gak pake bubble wrap,facial cleanser nya tumpah sampai habis sampai dus nya basah ternyata packing nya enggak pakai bubble wrap,"['facial', 'cleanser', 'nya', 'tumpah', 'sampai', 'habis', 'sampai', 'dus', 'nya', 'basah', 'ternyata', 'packing', 'nya', 'enggak', 'pakai', 'bubble', 'wrap']","['facial', 'cleanser', 'nya', 'tumpah', 'habis', 'dus', 'nya', 'basah', 'packing', 'nya', 'pakai', 'bubble', 'wrap']"
129,dibeli tanggal mei nyampe mei kualitas pekiannya pun gak niat gak ada box nya nyesel banget beli disini walaupun officially store seharusnya lebih niat jualan gak sih,dibeli tanggal mei sampai mei kualitas pekiannya pun enggak niat enggak ada box nya menyesal banget beli disini walaupun officially store seharusnya lebih niat jualan enggak sih,"['dibeli', 'tanggal', 'mei', 'sampai', 'mei', 'kualitas', 'pekiannya', 'pun', 'enggak', 'niat', 'enggak', 'ada', 'box', 'nya', 'menyesal', 'banget', 'beli', 'disini', 'walaupun', 'officially', 'store', 'seharusnya', 'lebih', 'niat', 'jualan', 'enggak', 'sih']","['dibeli', 'tanggal', 'mei', 'mei', 'kualitas', 'pekiannya', 'niat', 'box', 'nya', 'menyesal', 'banget', 'beli', 'officially', 'store', 'niat', 'jualan', 'sih']"
130,ketika sampai barang tidak ada di dalam kotak,ketika sampai barang tidak ada di dalam kotak,"['ketika', 'sampai', 'barang', 'tidak', 'ada', 'di', 'dalam', 'kotak']","['barang', 'kotak']"
131,kemasan tanpa kardus membuat tidak aman terhadap suhu produk diterima dalam keadaan panas sehingga tidak tau kualitas masih aman atau tidak,kemasan tanpa kardus membuat tidak aman terhadap suhu produk diterima dalam keadaan panas sehingga tidak tau kualitas masih aman atau tidak,"['kemasan', 'tanpa', 'kardus', 'membuat', 'tidak', 'aman', 'terhadap', 'suhu', 'produk', 'diterima', 'dalam', 'keadaan', 'panas', 'sehingga', 'tidak', 'tau', 'kualitas', 'masih', 'aman', 'atau', 'tidak']","['kemasan', 'kardus', 'aman', 'suhu', 'produk', 'diterima', 'panas', 'tau', 'kualitas', 'aman']"
132,tidak ada barangnya padahal tertera ada produk di kardus depan tp di dlm hanya ada sdh terlanjur sy klik selesai,tidak ada barangnya padahal tertera ada produk di kardus depan tapi di dalam hanya ada sudah terlanjur saya klik selesai,"['tidak', 'ada', 'barangnya', 'padahal', 'tertera', 'ada', 'produk', 'di', 'kardus', 'depan', 'tapi', 'di', 'dalam', 'hanya', 'ada', 'sudah', 'terlanjur', 'saya', 'klik', 'selesai']","['barangnya', 'tertera', 'produk', 'kardus', 'terlanjur', 'klik', 'selesai']"
133,entah seller lupa masukin produknya apa gimana isi dalam dusnya hanya kertas komplain doang produknya ga ada harga emang ga seberapa tapi kecewa bgt,entah seller lupa memasuki produknya apa bagaimana isi dalam dusnya hanya kertas komplain doang produknya enggak ada harga memang enggak seberapa tapi kecewa banget,"['entah', 'seller', 'lupa', 'memasuki', 'produknya', 'apa', 'bagaimana', 'isi', 'dalam', 'dusnya', 'hanya', 'kertas', 'komplain', 'doang', 'produknya', 'enggak', 'ada', 'harga', 'memang', 'enggak', 'seberapa', 'tapi', 'kecewa', 'banget']","['seller', 'lupa', 'memasuki', 'produknya', 'isi', 'dusnya', 'kertas', 'komplain', 'doang', 'produknya', 'harga', 'kecewa', 'banget']"
