,Review
93,barang ini tidak dikirim saya buat komplain lalu diberikan opsi pengembalian dana atau menunggu sampai barang ready baru dikirimkan saya pilih opsi yg kedua dong karena saya sudah merasa dapet flash sale dan sudah berebutan dengan semua orang di seluruh indonesia ini namun di keesokan harinya komplain sudah diselesaikan dan dana dibalikin perak dih kalo gitu buat apa ngasih opsi gitu ngga guna
94,barang ini dikirim tapi yg serum apricot tidak saya buat komplain lalu diberikan opsi pengembalian dana atau menunggu sampai barang ready baru dikirimkan saya pilih opsi yg kedua dong karena saya sudah merasa dapet flash sale dan sudah berebutan dengan semua orang di seluruh indonesia ini namun di keesokan harinya komplain sudah diselesaikan dan dana dibalikin perak dih kalo gitu buat apa ngasih opsi gitu ngga guna
95,palsu
96,dipacknya ngasal banget trs gaada buble wrapnya lagi cuman sunscreen langsung ke dus super ga niat jelek banget sih service packagingnya padahal ini official store lohh
97,kecewa bgt baru jg beli tp segel dalemnya udah bolong kayak sengaja dibolongin beda sama yg azarin ss gel itu dia masih kesegel ga divideoin dari awal jd gabisa komplen deh
98,kali ini paket white series yg dtng cmn harusnya udh komplain tpi ngga direspon samsek pantes didalam paket ada kertas cara ngajuin komplain trnyata emng ga beres isinya
99,tidak sampai barang nya
100,bikin bruntusan yg geleuh muka jadi keliatan dan kerasa kotor bgt ewh udh pake sunscreen dan toner yg soft light gitu no deh bener kata org ini buat kulit sensitif dan kering jangan pake akhirnya buat tangan dan area tubuh yg gelap aja deh
101,serumnya ga dikirim
102,barang ga dikirim yang dikirim cuma sunscreen sama aloe vera aja
103,nanti kalau dana saya sudah kembali saya ubah bintangnya
104,barang baru sampe setelah hari padahal toko gaada keterangan libur diprosesny lama banget kapok deh belanja di toko ini bingung kok ratingnya bagus ternyata ga sesuai pelayanannya
105,pesanan ga diproses hari sy ajukan pembatalan lgsng diproses dibalas sangat lama dan seadanya pengiriman lama banget
106,dari checkout hingga barang sampai butuh seminggu lebih
107,saya beli apa yang dikirim apa no respon pula buruk banget
108,jangan mau beli barang disini gapake kardus isinya setengah lagi
109,pengiriman nya lama sekali bukan hanya dari ekspedisi nya saja tapi konfirmasi diproses barangnya juga ampe berhari hari
110,pesannya sunscreen gel yg datang brightening scrub
111,hadiah dari bulan november belum dikirim juga di wa gak di bls di dm pun cuma di baca kecewa
112,panas bgt dipake ke wajah padahal biasa pake sunscreenya
113,official store make up termalas yg pernah saya dapat kemasan kirim asalan sangat tdk profesional
