,Review
203,dapet harga rb yeaaaay
204,no review found
205,packaging rapi dan niat padahal cm beli eyeliner
206,baru coba semoga cocok shade nina ini kalau moisturizer nya sudah andalan banget tipe kulitku berminyak tipe kulitku kombinasi under tone kulitku netral
207,pas untuk tipe kulitku kombinasi under tone kulitku warm
208,no review found
209,no review found
210,no review found
211,barangnya sudah datang dengan selamat semoga cocok di kulit aku
212,dpt potongan harga plus dikasih bonus penjepit bulu mata terimakasih somethinc
213,facial wash favorit membersihkan dgn baik tidak bikin kulit kering
214,beli banyak pcs murah satuan jadi ribuan tapi sayang ed awal gak ada di deskripsi
215,beli banyak pcs murah satuan jadi ribuan tapi sayang ed awal gak ada di deskripsi
216,barang diterima dengan baik kurir cepat dan terima kasih bonusnya
217,yeayyy finally sampai juga packing aman dan rapih lumayan dapat potongan harga terima kasih seller
218,aplikasinya mudah ga mbleber dan ujungnya runcing warnanya jg jetblack love it
219,tipe kulitku kombinasi
220,sampenya cepet cuma seharii
221,under tone kulitku cool tipe kulitku kombinasi lipsticknya beneran transferproof sangat matte dan light recommended for daily use juga karena lumayan tahan lama sunscreennya berat untuk ukuran sunscreen tp lighter than foundie finishingnya dewy dan coveragenya average easy to blend dan kalau udah set gak terlalu transfer
222,paket aman ga ada kerusakan
223,paket aman ga ada kerusakan
224,kulit ku kering  zone dan minyakan di  zone semoga cocok ga bikin makin berminyak soalnya sama cushion nya aku cocok bgt
225,lagi diskon parahhh cus langsung belii karna emang bener bagus dan waterproof packaging nya keren aman bgt padahal pensil aja gitu tapi kotak nya kek paket skincare
226,si lokal yg okeeee happy krn smua serum yg kupake cucok
227,si lokal yg okeeee happy krn smua serum yg kupake cucok
228,tipe kulitku berminyak tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan tipe kulitku kering masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif
229,original fast delivery great packing
230,baru mau nyoba  semoga cocok
231,blom dicoba smoga bagus
232,harga murah dpt  plus dapat cashback rb maa syaa allah
