,Review,Review_norm
296,beli dikirim hanya satu tidak minta pengembalian dana karena saya beli untuk ibu saya di luar kota dan baru dibuka beberapa hari setelahnya sehingga terlanjur tidak bisa dikomplain sedih banget ga amanah penjualnya padahal udah berapa kali saya beli avoskin ini lo,beli dikirim hanya satu tidak meminta pengembalian dana karena saya beli untuk ibu saya di luar kota dan baru dibuka beberapa hari setelahnya sehingga terlanjur tidak bisa dikomplain sedih banget enggak amanah penjualnya padahal sudah berapa kali saya beli avoskin ini lo
297,harga normal dapat expired date mepet tgl bln lagi padahal beli yg harga normal bukan clearance sale udah di minta solusi ttep aja gak bisa menyelesaikan solusi kapok,harga normal dapat expired date mepet tanggal bulan lagi padahal beli yang harga normal bukan clearance sale sudah di meminta solusi tetap saja enggak bisa menyelesaikan solusi kapok
298,barang tdk sampai ke pelanggan si cepat halu benar halu mengecewakan sebaigai pelanggal avo skin rugi kan saya tolong kurir ya yg amanah,barang tidak sampai ke pelanggan sih cepat halu benar halu mengecewakan sebaigai pelanggal avo skin rugi kan saya tolong kurir ya yang amanah
299,warna produk hafusnya gel bening tapi yg di terima warna kuning kecewa sih sekelas avoskin dapat barang kaya gini,warna produk hafusnya gel bening tapi yang di terima warna kuning kecewa sih sekelas avoskin dapat barang kayak begini
300,ga amanah beli dikirim,enggak amanah beli dikirim
301,beli dikirim,beli dikirim
302,ga ngerti knp smpe  gagal pickup,enggak mengerti kenapa sampai  gagal pickup
303,saya pesen tapi yg datang cuma pdhl diresi nya tertulis pcs emang salah saya ga divideoin krn udh percaya aja krn udah sering beli juga eeeehh ya sudahlah mo gmn lagi ga divideoin juga cuma ada foto doang,saya pesan tapi yang datang cuma padahal diresi nya tertulis pcs memang salah saya enggak divideoin karena sudah percaya saja karena sudah sering beli juga eeeehh ya sudahlah mau bagaimana lagi enggak divideoin juga cuma ada foto doang
304,expired date tinggal bln lg padahal pembelian sblmnya expired bisa th packaging kotor dan dusnya lecet obat totol jerawatnya kempes gak padat seperti sebelumnya,expired date tinggal bulan lagi padahal pembelian sebelumnya expired bisa tahu packaging kotor dan dusnya lecet obat totol jerawatnya kempes enggak padat seperti sebelumnya
305,expired bulan oktober padahal pembelian sebelumya expirednya bisa sampe thn ini cuma bln lg kau expired sy kecewa krn ini bukan pembelian pertama  avoskin produk yg sy pakai dr avoskin baru kali ini dikasih yg exp datenya cuma bln,expired bulan oktober padahal pembelian sebelumya expirednya bisa sampai tahun ini cuma bulan lagi kau expired saya kecewa karena ini bukan pembelian pertama  avoskin produk yang saya pakai dari avoskin baru kali ini dikasih yang exp datenya cuma bulan
306,kecewa karena tidak dijelaskan mengenai bonus pouchnya pas dateng gak ada free produk apapun sudah komplain namun tidak ada respon semoga lebih baik lg avoskin,kecewa karena tidak dijelaskan mengenai bonus pouchnya pas datang enggak ada free produk apapun sudah komplain namun tidak ada respon semoga lebih baik lagi avoskin
307,kardusnya udh sobek pdhl dipakein bublewrap lho pas cb buka produknya tutup botolnya agak susah dibuka cm bisa di puter tp ga kebuka,kardusnya sudah sobek padahal dipakein bublewrap lho pas coba buka produknya tutup botolnya agak susah dibuka cuma bisa di puter tapi enggak kebuka
308,secara packaging ok tapi cap nya plastik bgt secara hasil di aku bikin merah terus begitu bangun tidur kulit aku ada bau skincarenya gitu not too impressed affordable but very average quality,secara packaging ok tapi cap nya plastik banget secara hasil di aku bikin merah terus begitu bangun tidur kulit aku ada bau skincarenya begitu not too impressed affordable but very average quality
309,expnya biasanya exp skincare yg dijual itu rata tahun minimal ini stock lama di kasih ke pembeli termasuk deket exp,expnya biasanya exp skincare yang dijual itu rata tahun minimal ini stock lama di kasih ke pembeli termasuk dekat exp
310,kecewa harusnya jelas pas checkout tlsnnya dpt cash back ini mlh gk dpt,kecewa harusnya jelas pas checkout tlsnnya dapat cash back ini malah enggak dapat
311,botol tidak ditutup rapat isinya tumpah,botol tidak ditutup rapat isinya tumpah
312,pengiriman cepet sih tapi  ga suka baunya baunya ga enak,pengiriman cepat sih tapi  enggak suka baunya baunya enggak enak
313,tekstur cream nya  kek cream malamny agak keras,tekstur cream nya  kayak cream malamny agak keras
314,pengemasan lama tidak sesuai est time yang ditampilkan alasanya overload orderan tp di ecommerce lain bisa dikirim ontime dan cek penilaian toko sudah banyak yg terima produk tepat waktu harus hc dulu baru dikirim barangnya pelayanannya not recommended,pengemasan lama tidak sesuai est time yang ditampilkan alasanya overload orderan tapi di ecommerce lain bisa dikirim ontime dan cek penilaian toko sudah banyak yang terima produk tepat waktu harus hc dulu baru dikirim barangnya pelayanannya not recommended
315,requestnya avoskin action eye ampoule tapi yang dikirim intensive nourishing eye cream jelas beda item tp semoga cocok,requestnya avoskin action eye ampoule tapi yang dikirim intensive nourishing eye cream jelas beda item tapi semoga cocok
316,seperti sudah lama cream nya ada air air terpisah di atas nya perih saat di apply,seperti sudah lama cream nya ada air air terpisah di atas nya perih saat di apply
317,kenapa susah bgt keluarin produknya harus yg bener dipencet banget baru keluar emg kayak gini,kenapa susah banget keluarkan produknya harus yang benar dipencet banget baru keluar memang kayak begini
318,produknya sih bener yaitu ysb aa dan toner niacin tapi gambar produk misleading menyesatkan dan menipu sih saya beli ini bukan buat pake sendiri tapi buat gift ke orang jadi sengaja cari yang paket dengan dus cantik seperti di gambar ini ketika datang cuma individual box menyesatkan banget deh tau gitu saya beli brand lain yang gambar packagingnya sesuai dengan packaging ketika dikirim skr jadi saya harus cari box lagi kalau jualnya individual box produk gini gak usah sok sok tulis glow set package dan pasang gambar dus packaging yang menipu gini lah gambar sesuai produk dong harusnya,produknya sih benar yaitu ysb aa dan toner niacin tapi gambar produk misleading menyesatkan dan menipu sih saya beli ini bukan buat pakai sendiri tapi buat gift ke orang jadi sengaja cari yang paket dengan dus cantik seperti di gambar ini ketika datang cuma individual box menyesatkan banget deh tau begitu saya beli brand lain yang gambar packagingnya sesuai dengan packaging ketika dikirim sekarang jadi saya harus cari box lagi kalau jualnya individual box produk begini enggak usah sok sok tulis glow set package dan pasang gambar dus packaging yang menipu begini lah gambar sesuai produk dong harusnya
319,pas dibuka dalamnya kopong dipencet isinya ini  pake doang habis ga ngerti apa ml sedikit itu ya ga worth it harganya,pas dibuka dalamnya kopong dipencet isinya ini  pakai doang habis enggak mengerti apa ml sedikit itu ya enggak worth itu harganya
320,muncul jerawat batu setelah pakai ini udh bulan lebih bekasnya ga hilang,muncul jerawat batu setelah pakai ini sudah bulan lebih bekasnya enggak hilang
321,muka ku auto merah kukira cm efek pertama tp trnyt stlh pemakaian beberapa kali dan padahal gak setiap hari ttp aja sama aku mau preloved aja yaa,muka ku auto merah kukira cuma efek pertama tapi trnyt setelah pemakaian beberapa kali dan padahal enggak setiap hari tetap saja sama aku mau preloved saja ya
322,beli di tokped ternyata dr toko cabang expirednya lebih cepet bahkan dr botol saya yg sudah mau abis dan warna sudah menguning gatau apakah produk rusak atau masih aman dipake overall cukup mengecewakan,beli di tokped ternyata dari toko cabang expirednya lebih cepat bahkan dari botol saya yang sudah mau habis dan warna sudah menguning enggak tau apakah produk rusak atau masih aman dipakai overall cukup mengecewakan
323,review jujur produknya bagus tp jd kurang respect krn di gambar ditulis dpt tas tp ternyata pas dibuka engga ada pas dikomplain uda sertakan foto tetep engga bisa krn katanya engga ada bukti video buyers are not expect something wrong apalagi sekelas official store avoskin tp tetep aja klo kaya gini buyers yg disalahkan dan dirugikan seolah olah kesalahan buyer pdhl jg ada part kesalahan penjual krn produk tdk dikirim lengkap untung cuma tas hadiah gimana klo yg salah kirim produk serum ratusan ribu buat yg belanja disini hati hati ya selalu bikin video unboxing krn sekelas avoskin aja bisa bikin kesalahan smg tdk terjadi sama teman yg lain tambahan info bungkus sangat tight dgn produk dan bahkan solasinya msh nempel di kardus logikanya klo ada tasnya engga mungkin bisa setight itu kan,review jujur produknya bagus tapi jadi kurang respect karena di gambar ditulis dapat tas tapi ternyata pas dibuka enggak ada pas dikomplain sudah sertakan foto tetap enggak bisa karena katanya enggak ada bukti video buyers are not expect something wrong apalagi sekelas official store avoskin tapi tetap saja kalo kayak begini buyers yang disalahkan dan dirugikan seolah olah kesalahan buyer padahal juga ada part kesalahan penjual karena produk tidak dikirim lengkap untung cuma tas hadiah bagaimana kalo yang salah kirim produk serum ratusan ribu buat yang belanja disini hati hati ya selalu bikin video unboxing karena sekelas avoskin saja bisa bikin kesalahan semoga tidak terjadi sama teman yang lain tambahan info bungkus sangat tight dengan produk dan bahkan solasinya masih menempel di kardus logikanya kalo ada tasnya enggak mungkin bisa setight itu kan
324,kulitku bukan tipe kulit yg sensitif jarang breakout tp pke ini bru  langsungjerawat kecil muncul,kulitku bukan tipe kulit yang sensitif jarang breakout tapi pakai ini baru  langsungjerawat kecil muncul
325,pengiriman sampe hari lama bgt pdhl pket yg lain udh sampe bahkan paket udh sampe,pengiriman sampai hari lama banget padahal pket yang lain sudah sampai bahkan paket sudah sampai
326,paket terlama yg pernah aku terima seminggu baru sampe  gatau nyangkut dimana ini paket,paket terlama yang pernah aku terima seminggu baru sampai  enggak tau nyangkut dimana ini paket
327,pas dibuka udah ancur ga bersisa,pas dibuka sudah hancur enggak bersisa
328,ga cocok paginya muka merah di pipi jidat bawah mata,enggak cocok paginya muka merah di pipi jidat bawah mata
329,kemasan botol toner nya tolong diperbaiki tutup botol tdk rapat dan kencang longgar botol toner menjadi pecah terlepas dr pegangan,kemasan botol toner nya tolong diperbaiki tutup botol tidak rapat dan kencang longgar botol toner menjadi pecah terlepas dari pegangan
330,untuk pengiriman produknya bagus cepat aman tapi maaf ternyata produk ini ga cocok di kulitku yang ada langsung tumbuh jerawat,untuk pengiriman produknya bagus cepat aman tapi maaf ternyata produk ini enggak cocok di kulitku yang ada langsung tumbuh jerawat
331,pesenan salah dtg terus barangnya udh abis piye mo retur lg ppkm gini jg ribet huv,pesanan salah datang terus barangnya sudah habis piye mau retur lagi ppkm begini juga ribet huv
332,cream mahal tapi gaada spatula nya hmmmm nyesek abis cekot ml semoga cocok deh,cream mahal tapi enggak ada spatula nya hmmmm menyesak habis cekot ml semoga cocok deh
333,kulit saya gak cocok pakai sunscreen ini timbul jerawat meskipun cuma,kulit saya enggak cocok pakai sunscreen ini timbul jerawat meskipun cuma
334,not worth your ,not worth your 
335,pesan ysk bae yg datang phte special edition setelah proses komplain retur barang dsb pesanan saya baru dtg tanggal agustus padahal pesan dari tgl juli,pesan ysk bae yang datang phte special edition setelah proses komplain retur barang dsb pesanan saya baru datang tanggal agustus padahal pesan dari tanggal juli
