,Review,Review_norm,review_tokens
25,tim avo salah kirim barang yg dikirim toner dengan harga rb karena sdg musim pandemi saya malas kirim balik barang toh ongkir juga saya yg tanggung pastinya kan saya juga akhirnya memutuskan untuk tetap beli serum ini saya pikir hal normal klo kesalahan penjual untuk selisih bayar bukan tanggung jawab pembeli dong ya saya pikir jg rb walaupun avo juga kasih voucher untuk pembelian senilai rb saya kasih kabar cs kalau saya sudah beli serum dan dipastikan jgn ada salah kirim lagi yg saya dapatkan adalah saya diminta bayar kekurangan ya ampun bukan masalah rb sih cuma pake logika aja kalian yg salah kalian yg bkn ribet kemudian apakah diperbolehkan saya tokopedia untuk trf ke rekening seller ya,tim avo salah kirim barang yang dikirim toner dengan harga ribu karena sedang musim pandemi saya malas kirim balik barang toh ongkir juga saya yang tanggung pastinya kan saya juga akhirnya memutuskan untuk tetap beli serum ini saya pikir hal normal kalo kesalahan penjual untuk selisih bayar bukan tanggung jawab pembeli dong ya saya pikir juga ribu walaupun avo juga kasih voucher untuk pembelian senilai ribu saya kasih kabar customer service kalau saya sudah beli serum dan dipastikan jangan ada salah kirim lagi yang saya dapatkan adalah saya diminta bayar kekurangan ya ampun bukan masalah ribu sih cuma pakai logika saja kalian yang salah kalian yang bukan ribet kemudian apakah diperbolehkan saya tokopedia untuk trf ke rekening seller ya,"['tim', 'avo', 'salah', 'kirim', 'barang', 'yang', 'dikirim', 'toner', 'dengan', 'harga', 'ribu', 'karena', 'sedang', 'musim', 'pandemi', 'saya', 'malas', 'kirim', 'balik', 'barang', 'toh', 'ongkir', 'juga', 'saya', 'yang', 'tanggung', 'pastinya', 'kan', 'saya', 'juga', 'akhirnya', 'memutuskan', 'untuk', 'tetap', 'beli', 'serum', 'ini', 'saya', 'pikir', 'hal', 'normal', 'kalo', 'kesalahan', 'penjual', 'untuk', 'selisih', 'bayar', 'bukan', 'tanggung', 'jawab', 'pembeli', 'dong', 'ya', 'saya', 'pikir', 'juga', 'ribu', 'walaupun', 'avo', 'juga', 'kasih', 'voucher', 'untuk', 'pembelian', 'senilai', 'ribu', 'saya', 'kasih', 'kabar', 'customer', 'service', 'kalau', 'saya', 'sudah', 'beli', 'serum', 'dan', 'dipastikan', 'jangan', 'ada', 'salah', 'kirim', 'lagi', 'yang', 'saya', 'dapatkan', 'adalah', 'saya', 'diminta', 'bayar', 'kekurangan', 'ya', 'ampun', 'bukan', 'masalah', 'ribu', 'sih', 'cuma', 'pakai', 'logika', 'saja', 'kalian', 'yang', 'salah', 'kalian', 'yang', 'bukan', 'ribet', 'kemudian', 'apakah', 'diperbolehkan', 'saya', 'tokopedia', 'untuk', 'trf', 'ke', 'rekening', 'seller', 'ya']"
26,kecewa,kecewa,['kecewa']
27,tokok tidak amanah pembohong gak sesuai ucapan jualan asal laku aja kecewa,tokok tidak amanah pembohong enggak sesuai ucapan jualan asal laku saja kecewa,"['tokok', 'tidak', 'amanah', 'pembohong', 'enggak', 'sesuai', 'ucapan', 'jualan', 'asal', 'laku', 'saja', 'kecewa']"
28,kecewa sama pembelian di toko ini saya dikirim barang rusak tapi tidak ada tanggubg jawab dan dipersulit liat deh serum nya mengkristal ga jelas gt dan tisp beli selalu aja isi produk di dalamnya berdebu,kecewa sama pembelian di toko ini saya dikirim barang rusak tapi tidak ada tanggubg jawab dan dipersulit lihat deh serum nya mengkristal enggak jelas begitu dan tisp beli selalu saja isi produk di dalamnya berdebu,"['kecewa', 'sama', 'pembelian', 'di', 'toko', 'ini', 'saya', 'dikirim', 'barang', 'rusak', 'tapi', 'tidak', 'ada', 'tanggubg', 'jawab', 'dan', 'dipersulit', 'lihat', 'deh', 'serum', 'nya', 'mengkristal', 'enggak', 'jelas', 'begitu', 'dan', 'tisp', 'beli', 'selalu', 'saja', 'isi', 'produk', 'di', 'dalamnya', 'berdebu']"
29,belum terlihat manfaatnya,belum terlihat manfaatnya,"['belum', 'terlihat', 'manfaatnya']"
30,suncreen spf isinya kosong ngak ngerti dengan qcnya,suncreen spf isinya kosong enggak mengerti dengan qcnya,"['suncreen', 'spf', 'isinya', 'kosong', 'enggak', 'mengerti', 'dengan', 'qcnya']"
31,dari awal menerima isi udah berkurang cukup bnyak kali prtama kecewa,dari awal menerima isi sudah berkurang cukup banyak kali prtama kecewa,"['dari', 'awal', 'menerima', 'isi', 'sudah', 'berkurang', 'cukup', 'banyak', 'kali', 'prtama', 'kecewa']"
32,gak ada isinya kecewa banget,enggak ada isinya kecewa banget,"['enggak', 'ada', 'isinya', 'kecewa', 'banget']"
33,bruntusan,bruntusan,['bruntusan']
34,ga cocok banget sm kulitku sedih bawah mata bengkak pdahal baru pake kali spertinya alergi sm bbrp bahan di dalamnya sayang banget,enggak cocok banget sama kulitku sedih bawah mata bengkak padahal baru pakai kali sepertinya alergi sama beberapa bahan di dalamnya sayang banget,"['enggak', 'cocok', 'banget', 'sama', 'kulitku', 'sedih', 'bawah', 'mata', 'bengkak', 'padahal', 'baru', 'pakai', 'kali', 'sepertinya', 'alergi', 'sama', 'beberapa', 'bahan', 'di', 'dalamnya', 'sayang', 'banget']"
