,Review
73,official store avoskin sangat mengecewakan beli produk ini di bulan juni dikirim produk dengan exp date padahal pao produk bulan ngga heran di etalase toko banyak jualin produk murah yg mepet exp date tapi produk yg saya beli ini produk harga normal yg didiskon bukan produk yg dikasih keterangan mepet exp date saran mending beli produk avoskin di official store lain yg jual produk mereka beneran deh lebih mahal sedikit gapapa daripada dikasih produk mepet exp date ini official store brandnya langsung loh parah banget pelayanannya baru kali ini ada official skincare yg mau mengorbankan kepercayaan customer cuma buat menghabiskan stock produk lama
74,sayang sekali di deskripsi tertulis akan dikirim produk dengan tgl exp tapi yang dikirim tgl exp sebaiknya lebih dicek lg untuk produk yg dikirim jgn asal walau hanya selisih sebulan untuk proses pengembalian jg tidak efektif di diskusi dan penulisan alat dikasih yang berbeda customer sudah malas duluan untuk proses klaim pengembalian dan refund nya
75,dapat produk expired date sangat dekat dgn tgl kadaluarsanya tanpa pemberitahuan dahulu saya sertakan bukti foto bahwa produk saat saya beli tidak ada himbauan bahwa produk expired dalam waktu dekat pengiriman juga lama sekali lalu respon admin juga lama
76,dikasih yg exp padahal official store dan barang nya terjual sudah banyak masa masih ada yg produk tahun kemarin yg masih ada dan pembeli yg bln lalu dapat yg exp apakah karena barang diskonan jadi dikasih batch tahun lalu hmm
77,panass buanget sudah chat admin bilang gpp setiap pake nyelekit
78,tidak cocok di kulit aku yang sensitif menyebabkan iritasi kemerahaan di daerah dagu
79,isinya kosong
80,cuma bisa digunakan bulan kedepan karna exp date nya sangat mepet heran kenapa yaa toko nya cuma jual retinol yg udh dekat dgn exp date saya lihat gak ada pilihan lain cuma ini satu nya retinol ampoule pengiriman sangaaaaaaaaaat lama barang dikirim dari makasar packing gak aman karna dikirim dengan kardus yg gampang penyok inti nya sangat mengecewakan masa pakai cuma bulan sebelum exp date karna retinol tidak dipakai setiap hari jadi kemungkinan habis nya mungkin akan sangat lama saya lihat banyak keluhan exp date ini buat yg mau beli hati deh buat apa beli murah klo masa pakai nya cuma sebentar
81,pengiriman lama disaat seller skincare laen berlomba lomba untuk mempercepat pengiriman san avoskin malah dengan percaya dirinya berlarut larut ngirim ini produk mana produknya  aja cih
82,sangat kecewa beli paket toner serum yg dtg cuma tonernya aja serumnya ngga ada karena udah percaya duluan jadi ga ada video unboxing abisin uang jadi musti beli serumnya lg
83,isinya habis bis basah kuyup kapok beli disini lagi udh komplain bilangnya packing sudah aman pdhal dari saya buka paket tutup botol kebuka dan isi habis gak mau disalahin kecewa pokoknya
84,pesanan datang tidak sesuai pesan perfect divine combo yg datang miraculous dark spot dilihat dari harga sudah jelas selisihnya serum ysb konfirmasi via chat disuruh menunggu terus akhirnya tidak bisa diretur karena shipping label blur padahal waktu sampai di tempat saya ya sudah blur seperti itu sayangnya tidak sempat buat video unboxing karena ini sudah pesanan ke dan setiap saya pesan sebelumnya tidak pernah ada kesalahan padahal setiap pesan selalu dalam jumlah yg tidak sedikit tolong lebih hati hati lg dan jika syarat retur adalah shipping label yg jelas tingkatkan kualitas shipping label kalian agar bisa saat sampai ke pelanggan tidak blur dan dibuat database agar bisa mengecek pesanan yg sudah dikirimkan ke pelanggan apa saja sudah saatnya ganti ke produk yg after sales servicenya lebih baik semoga ulasan saya tidak dihapus
85,pas datang cream nya warna nya bukan putih tp coklat setelah beberapa  jelaskan kasih histori sampai disuruh isi data baru di kirim kurir untuk pick up skrg lg menunggu gmn apakah ada pergantian krn blm dikabarin sama sekali entah krn cream nya clearance apa gmn kecewa aja krn memang butuh banget
86,kemasan tidak aman tp barangnya kaca semua pecah dimana
87,baru kali ini beli barang expirednya deket banget kecewa banget
88,barang sudah mau exp
89,pengiriman lama exp nya ga sampai bln sedangkan skincare pakai nya kan lama padahal official store
90,barang nya udh lama saya buka tapi blm dikeluarin dri kotaknya dan baru kali ini beli tapi kualitasnya kyk muntahan org bau dan lengket kental bgtt padahl yg sebelum nya gk gini kalau kalian bilang boong atau menjatuhkan saya gk akan berhenti pake skincare ini cuman baru kali ini dapat yang zong banget dari warna juga udh beda tulisan expired beda dri botol lain bener kyk di oplos boleh ya dilihat video nya botol pertama itu yg saya beli botol kedua itu yg udh lama saya beli juga so gimana ini kocakkk
91,barang kurang kirim pcs dah biasa beli dj sini gak pernah kurang kirim cmn  ini aja sialnya aku buka setelah transaksi selesai dan gak di videoin gak tau hrs komplain ke mana merasa sangat di rugikan
92,beli di kirim cm udah kirim lamaaaa kondisi barang saya terima jg seperti sudah terbuka dari segel nya
93,beli apa yang di kirim apa
94,beli toner yang di kirim serum
95,barang lama di proses beli pcs bayar pcs yang datang hanya pcs itu pun juga ada keterlambatan pengiriman terimakasih pengalaman berbelanjanya
96,barang tidak di terima tidak sampai
97,req cancel karena salah beli varian tpi gk di acc diinfo barang sudah confirm kirim padahal biasanya pesanan baru diproses dihari kedua setelah dikirim ku lacak taunya kirim dari makassar padahal posisi saya di jkt jadi lama pula nyampainya sampai semingguan
98,expire date bulan tahun bulan lagi gila sih padahal di bungkus tulisan tahun ternyata tahun lain kali diinfo dong jgn ngerugiin customer
