,Review
230,sunscreen favorit akuh repurchase berkali tipe kulitku normal
231,cocok banget di kulitku yg oily seenak itu
232,mudahan cocok
233,pengiriman lama
234,exp panjang thx
235,cocok di aku gess tipe kulitku berminyak
236,baguss
237,diterima dalam kondisi baik semoga cocok
238,barang original dan pengiriman cepat semoga cocok karena baru pertama kali coba
239,barang aman pemakaian pertama kali semoga cocok
240,pemakaian pertama kali oke semoga cocok biar gk gonta ganti lagi
241,sudah repeat order yg kesekian kali nya dapet potongan harga diakon sampe rb jadi berasa bayar produk  cashback rb sering pantengin promo flash sale aja thanks good luck
242,tipe kulitku kering berjerawat dan jerawatan
243,produknya oke ga usah ditanya lah ya kualitasnya tp pengiriman cenderung lama bs jd krn sy order akhir tahun ya jd kepotong banyak libur
244,bahannya ringan langsung nyerap ke kulit teksturnya agak kental tpi  yg berat gt
245,gampang terserap ringan no whitecast
246,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat
247,sun screen azarine mah terbukti juara buat kulit berminyak
248,suka banget sama liptint azarine yg warna ini karna bikin muka jadi keliatan fresh dan liptintnya wangi isinya juga banyakkk
249,baru mau coba sunscreen ini semoga cocokk pengirimannya cepat dan aman
250,kenapa ya ga baca pesanan saya saya pesen dua kok dateng satu
251,packing tebal aman pengiriman cepat produk lebih murah dari di toko offline so far pake micellar ini sangat ringan cocok utk kulit sensitif meski utk mengangkat kotoran hrs dilakukan berulang tp gpp namanya jg murah xixi
252,tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku kerutan masalah kulitku pori besar semoga cocok krna pake produk azarine yg lain cocok aja sih
253,tipe kulitku kombinasi tipe kulitku sensitif pake ini kulit brasa lebih bersih aja komedo jga jdi gk gtu kliatan enakan deh cocok selalu pake produk azarine cuma aku gak tau yg bikin komedo ini sunscreennya atau bukan ya
254,barangnya sampai dengan selamat dan sesuai packagingnya free bubble akhirnya menemukan ss yg sesuai sama kulitku karena kulitku itu mudah berjerawat sensitif kering gampang dermatitis juga jadi bingung mau pilih physical atau chemical ss apalagi akhir akhir ini pakai salep setiap harinya salep keras dari dr jadi gimana ngga makin trust issue apalagi desas desus chemical ss kurang di anjurkan untuk pemilik kulit sensitif modal niat dan review fd apk akhirnya aku co akhirnya cocok ngga iritasi komedoan ataupun nambah jerawat dia benar benar bagus buat sensitive dry skin berasa lembap nya bakal nyetok sih apalagi kalau di tokped banyak diskon semoga konsisten terus buat azarine terimakasih
255,pengiriman cepat dan packing sangat aman selalu beli sunscreennya karena emang cocok untuk moisturizernya baru coba terimakasih seller
256,mendarat dengan sempurnaaa
257,bagusss bangett sampai dengan selamatt
258,tipe kulitku berminyak mudah an cocok seperti revieuw org seperti serum vit  retinolnya yg cocok dikulit saya klo cocok bakal repeat order lagi
259,sesuai klaimnya no whitecast pas pake sunscreen ini beneran ada rasa dinginnya di wajah gampang diaplikasiin bikin matte di wajah cocok pake sunscreen ini pertama kali coba lgsg klop jadi repurchase pengemasan pengiriman cepat aman
260,tipe kulit combination normal to oily beli toner ini buat bantu ngilangin kusam di wajah it works jadi repurchase selain bantu ngilangin kusam jg bikin kulit wajah jadi lembab dipake setelah micellar fw pengemasan pengiriman cepat aman
261,ringan bgt dibibir lup lup dh bwt azarine
262,saya beli sunscreen gel twin pack gel tapi yang di kirim cuma pcs harusnya kan saya dapat pcs saat di komplen juga pihak penjual malah meminta untuk di batalkan komplen dan akan di proses secara manual sedangkan saya merasa tidak percaya barang akan di kirim saya meminta barang di kirim dulu baru saya batalkan complen tp pihak penjual tidak mau dan sekarang barang yg kurang tidak di kirim dana juga tidak di kembalikan
263,tipe kulitku berminyak barang original tp untuk bagian pengiriman nya agak lama
264,tipe kulitku kombinasi cenderung kering di aku enak sih dicoba
265,liptint nya udah sampe dengan aman packaging warna nya lucuuu dan cakepp bangettt ada wangi nya jugaaa kebetulan lg ada voc diskon dri tokped jadi langsung beli
266,teksturenya ringan cocok dengan kulitku
267,tipe kulitku berminyak tipe kulitku normal tipe kulitku kombinasi
268,tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku pori besar masalah kulitku jerawat
269,belum dibuka kardusnya udah kecium wangi entah krn ini produk lain semua bagus tapi packing cukup disayangkan krn produk ga dikasih wrap seenggaknya lakban untuk mencegah kebocoran
270,belum dibuka kardusnya udah kecium wangi entah krn ini produk lain semua bagus tapi packing cukup disayangkan krn produk ga dikasih wrap seenggaknya lakban untuk mencegah kebocoran semoga pakai produk ini cocok
271,udh pakai tube sunscreen ini sejauh ini oke aja buat kulit bejerawat
272,packaging oke cmn kardus agak sdkt bonyok aja tp brng aman karna pakai bubble warp bikin tangan  kaki lembap kalau dipakai pagi hari apalagi kerja diruang ber ac overall baguss
273,tipe kulitku normal tipe kulitku berminyak masalah kulitku jerawat tipe kulitku sensitif tipe kulitku kering masalah kulitku kerutan masalah kulitku pori besar tipe kulitku kombinasi
274,fine sm produknya krna emg langganan produk azarine tp pengirimannya sgt bermasalah baru sampai setelah minggu dom jak sel
275,masalah kulitku pori besar masalah kulitku kerutan tipe kulitku sensitif
276,micellarnya bagus gabikin perih juga pas dipake
277,sunscreennya bagus ga lengket juga dan cocok bgtt untuk kulit berjerawat
278,kualitas oke sesuai dngn foto di produk
279,kualitas bagus tekstur gel mumpung dpt harga fs cb beli deh pengemasannya menggunakan kardus diisolasi exp
280,produk original variasi sesuai pesanan expired date msh lama warnanya cantik banget stainnya juara thank you
281,tipe kulitku berminyak aman dan nyaman untuk kulit yang berminyak cocok aja beli di official store dijamin asli
282,pengiriman sangat cepat baru coba azarine semoga cocok
283,tipe kulitku kombinasi setelah pakai ss ini hampir seminggu yang aku rasakan tuh sering gatel diarea hidung dan alis gatelnya tuh yang kayak perih mungkin kalo kulit lagi sensi ga bakal aku pake teksturnya cream tapi cepet ngebland dan ga bikin white cast yang abu abu gitu dikulit medium poinnya dari aku mah
284,tipe kulitku berminyak dan masalah kulitku lebih sering bruntusan sejauh ini pake moist yang ini nyaman dan cocok terima kasih
285,barang telah sampai di tempat dengan aman sesuai pesanan meski belum dicoba mudahan sesuai dengan kebutuhan
286,pengiriman cepet bgt packing aman
287,cucoookkkk bangett
288,bagus untuk kulit berminyak dan harga murah
289,kecepatan pengiriman baik produk aman dan exp masih terima kasih tipe kulitku normal
290,beli yg dikirim lupa ambil video unboxing jadi gabisa claim
291,sll the best  cocok  wajahku lov azarine buktikan aja sndr wokey sll langganan beli  sini pelayanan nya the best besttttttt dah
292,tipe kulitku kombinasi tipe kulitku sensitif
293,realpict sukses selalu seller
294,semoga cocok
295,mantap
296,nyaman belanja di sini krn official store jadi pasti ori dan exp date masih lama seller fast respond pengiriman cepet packing rapi dan aman recommended seller terimakasih
297,beli twin pack yang dikirim cuma
298,smuaa ok cuma ky nya kulitku yg ga cocok sm sunscreennya ngerasa lengket bgt makenya so sorry
299,wangi nya enak semoga cocok
300,halus bgt rambutku pakai ini dan mudah dibilasnya semoga rambut  rontok lagi
301,semoga cocok baru mau nyoba
302,semoga cocok dg kulitku
303,tipe kulitku normal semoga cocok
304,tipe kulitku normal semoga cocok udah dipakai ringan dan meresap
305,masih belum coba moga aja cocok
306,alhamdulillah masyaallah bangeeet nemu azarine karna ini produk beneran secocok itu sama semua produk azarine masyaallah tipe kulitku berminyak tipe kulitku sensitif tipe kulitku kombinasi
307,enak banget dipakek gak bikin kering bibir pengiriman cepat keamanan barang dijamin pokoknya rekomen banget deh
308,cocok buat kulit ane yg oily dan bisa hempaskan jerawat
309,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat
310,produk bagus cepat menyerap pengemasan cepat dan aman pengiriman cepat
311,terbaik emang azarine official store
312,order twinoack yang dateng satu doang dikomplain tetep gabisa ada solusinya bikin kapok
313,bahan ringan smg cocok
314,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif
315,tipe kulitku normal tipe kulitku kering packingnya safety banget dtgnya cepet udh jar ke jd udh nyaman aja recomended
316,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku sensitif under tone kulitku warm tipe kulitku kombinasi under tone kulitku netral under tone kulitku cool
317,murah banget btw ini dikirim buat ade ya jadi gak ada fotonya makasih
318,masalah kulitku pori besar tipe kulitku kombinasi tipe kulitku normal
319,tipe kulitku kering lumayan enak ga terlalu berat diwajah setelah make moist terus ada efek tone up nya juga omagaa untuk efek mencerahkan nya pas rutin pemakaian yaa
320,sesuai deskripsi
321,tipe kulitku berminyak masalah kulitku pori besar masalah kulitku jerawat
322,yaeaayy dpt harga murmer
323,makasih banyak cocok banget sabunnya gabikin kering tapi bersihh packing aman dan sampai selamat thanks azarine
324,baru pertama coba dan udah dipake beberapa hari sunscreennya bagus banget cocok buat acne face kuu ga lengket sama sekali
325,love banget makasih azarine tadinya beli karena dapet pc tapi ternyata emang bagus banget velvety lippie cream nyaa dan walau ga cocok warm tone ini bagus banget di akuu
326,pertama kali coba elum tau si
327,seperti sunscreen pada umunya si
328,tipe kulitku normal masalah kulitku pori besar
329,cocok untuk tipe kulit kombinasi
330,cocok  kulit ku yang berminyak dh beli yang kesekian kalinya ini pas banget lagi diskon gede jd gasss deh co
331,tdk bikin kering tp  bkn lbh lembab jg mksdny  ky pk lipbalm warnany jd agak pink orange  bibir bibir atas yg gelap  begitu ketutup sih tp ada warna pinkny pengiriman cepat dan bentuknya lucu ukuran pas utk dbawa  tas
332,belum dicoba semoga cocok untuk kulit saya yg sudah berumur an
