,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
37,packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,packing nya bagus banget untuk cream dengan harga segitu tekstur ringan cepat meresap di kulit enggak ada bau menyengat sama sekali semoga cocok di kulit aku yang kering tapi bruntusan terima kasih,"['packing', 'nya', 'bagus', 'banget', 'untuk', 'cream', 'dengan', 'harga', 'segitu', 'tekstur', 'ringan', 'cepat', 'meresap', 'di', 'kulit', 'enggak', 'ada', 'bau', 'menyengat', 'sama', 'sekali', 'semoga', 'cocok', 'di', 'kulit', 'aku', 'yang', 'kering', 'tapi', 'bruntusan', 'terima', 'kasih']","['packing', 'nya', 'bagus', 'banget', 'cream', 'harga', 'segitu', 'tekstur', 'ringan', 'cepat', 'meresap', 'kulit', 'enggak', 'bau', 'menyengat', 'sama', 'sekali', 'semoga', 'cocok', 'kulit', 'aku', 'kering', 'bruntusan', 'terima', 'kasih']","['packing', 'nya', 'bagus', 'banget', 'cream', 'harga', 'segitu', 'tekstur', 'ringan', 'cepat', 'resap', 'kulit', 'enggak', 'bau', 'sengat', 'sama', 'sekali', 'moga', 'cocok', 'kulit', 'aku', 'kering', 'bruntusan', 'terima', 'kasih']"
38,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']"
39,bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,bahannya ringan mudah menyerap cocok di kulit aku yang berjerawat enggak bikin breakout the best pokoknya,"['bahannya', 'ringan', 'mudah', 'menyerap', 'cocok', 'di', 'kulit', 'aku', 'yang', 'berjerawat', 'enggak', 'bikin', 'breakout', 'the', 'best', 'pokoknya']","['bahannya', 'ringan', 'mudah', 'menyerap', 'cocok', 'kulit', 'aku', 'berjerawat', 'enggak', 'bikin', 'breakout', 'the', 'best', 'pokoknya']","['bahan', 'ringan', 'mudah', 'serap', 'cocok', 'kulit', 'aku', 'jerawat', 'enggak', 'bikin', 'breakout', 'the', 'best', 'pokok']"
40,tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku kombinasi masalah kulitku jerawat,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulit', 'kombinasi', 'masalah', 'kulit', 'jerawat']"
41,tipe kulitku kombinasi,tipe kulitku kombinasi,"['tipe', 'kulitku', 'kombinasi']","['tipe', 'kulitku', 'kombinasi']","['tipe', 'kulit', 'kombinasi']"
42,tipe kulitku berminyak masalah kulitku pori besar original terimakasih,tipe kulitku berminyak masalah kulitku pori besar original terima kasih,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'original', 'terima', 'kasih']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'original', 'terima', 'kasih']","['tipe', 'kulit', 'minyak', 'masalah', 'kulit', 'pori', 'besar', 'original', 'terima', 'kasih']"
43,bahannya ringan cocok digunakan,bahannya ringan cocok digunakan,"['bahannya', 'ringan', 'cocok', 'digunakan']","['bahannya', 'ringan', 'cocok', 'digunakan']","['bahan', 'ringan', 'cocok', 'guna']"
44,tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk,tipe kulitku berminyak baru mau mencoba makai ini tapi sebelumnya mencoba punya teman cocok,"['tipe', 'kulitku', 'berminyak', 'baru', 'mau', 'mencoba', 'makai', 'ini', 'tapi', 'sebelumnya', 'mencoba', 'punya', 'teman', 'cocok']","['tipe', 'kulitku', 'berminyak', 'baru', 'mau', 'mencoba', 'makai', 'sebelumnya', 'mencoba', 'punya', 'teman', 'cocok']","['tipe', 'kulit', 'minyak', 'baru', 'mau', 'coba', 'maka', 'belum', 'coba', 'punya', 'teman', 'cocok']"
45,barang datang sesuai packing nya aman serta pengiriman cepat,barang datang sesuai packing nya aman serta pengiriman cepat,"['barang', 'datang', 'sesuai', 'packing', 'nya', 'aman', 'serta', 'pengiriman', 'cepat']","['barang', 'datang', 'sesuai', 'packing', 'nya', 'aman', 'pengiriman', 'cepat']","['barang', 'datang', 'sesuai', 'packing', 'nya', 'aman', 'kirim', 'cepat']"
46,berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg,berasa cerah jika sudah pakai cuman di aku jadi bikin kering jadi mesti pakai pelembab muka lagi,"['berasa', 'cerah', 'jika', 'sudah', 'pakai', 'cuman', 'di', 'aku', 'jadi', 'bikin', 'kering', 'jadi', 'mesti', 'pakai', 'pelembab', 'muka', 'lagi']","['berasa', 'cerah', 'pakai', 'cuman', 'aku', 'jadi', 'bikin', 'kering', 'jadi', 'mesti', 'pakai', 'pelembab', 'muka']","['asa', 'cerah', 'pakai', 'cuman', 'aku', 'jadi', 'bikin', 'kering', 'jadi', 'mesti', 'pakai', 'pelembab', 'muka']"
