,Review,Review_norm
61,ceept bangett nyampenya belinya pake voucher beli lokal dapet cashback gopay lagii sudah favorit banget sunscreen azarine ini,ceept banget sampainya belinya pakai voucher beli lokal dapat cashback gopay lagi sudah favorit banget sunscreen azarine ini
62,barang sesuai deskripsi pengiriman cepat,barang sesuai deskripsi pengiriman cepat
63,good good udh koleksi semua varian nyaa suka semuaaa,good good sudah koleksi semua varian nya suka semua
64,lembab banget warnany juga bagus cocok untuk diombre atau dipake satuan yang cream puff kalau dipake satuan lama bakal tinted agak pinkish dan jadi kaya warna bibir natural baguss bgt tapi sebelum pake makser harus dibiarin bener ngeset dulu biar gak terlalu banyak transfer kemana overall sangat puas sama produknya,lembab banget warnanya juga bagus cocok untuk diombre atau dipakai satuan yang cream puff kalau dipakai satuan lama bakal tinted agak pinkish dan jadi kayak warna bibir natural bagus banget tapi sebelum pakai makser harus dibiarkan benar ngeset dulu biar enggak terlalu banyak transfer kemana overall sangat puas sama produknya
65,terima kasih banyak overall great sesuai ekspektasi keep up the good work,terima kasih banyak overall great sesuai ekspektasi keep up the good work
66,cocok sama serumnya skrg mau nyobain bundle ini biar bisa cobain ssnya jggg murah bgt ini jadinya,cocok sama serumnya sekarang mau mencoba bundle ini biar bisa mencoba ssnya juga murah banget ini jadinya
67,tipe kulitku kombinasi masalah kulitku kerutan,tipe kulitku kombinasi masalah kulitku kerutan
68,entah udah berapa kali repurchase azarine hydramax  ini sesuka ituuu terima kasih azarine udah nyiptain produk iniii butuh ukuran liter,entah sudah berapa kali repurchase azarine hydramax  ini sesuka itu terima kasih azarine sudah nyiptain produk ini butuh ukuran liter
69,bagus banget,bagus banget
70,good product,good product
71,tipe kulitku berminyak tipe kulitku kombinasi tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku kombinasi tipe kulitku sensitif
72,tipe kulitku sensitif tipe kulitku kering belum terlalu kelihatan efeknya sudah habis botol,tipe kulitku sensitif tipe kulitku kering belum terlalu kelihatan efeknya sudah habis botol
73,buat yang bingun pilih mana kulit sawo matang cenderung kulit warm olive tone cobain combo rusberry muffin mantul bgt muka jadi cerah buat ombre jg oke banget tapi ga cocok dipake sendiri masih bisa nego pake sendiri,buat yang bingung pilih mana kulit sawo matang cenderung kulit warm olive tone mencoba combo rusberry muffin mantul banget muka jadi cerah buat ombre juga oke banget tapi enggak cocok dipakai sendiri masih bisa nego pakai sendiri
74,shade ini warna nya bagus cocok buat anak muda ga gampang ilang wangi packaging nya lucu harga affordable,shade ini warna nya bagus cocok buat anak muda enggak gampang hilang wangi packaging nya lucu harga affordable
75,tipe kulitku kering masalah kulitku pori besar,tipe kulitku kering masalah kulitku pori besar
76,tipe kulitku berminyak tipe kulitku normal tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku normal tipe kulitku sensitif
77,bagus banget dan terjangkau toplahyyyu amin untuk,bagus banget dan terjangkau toplahyyyu amin untuk
78,serum di bungkus bubble wrap rapi kemarin dah coba serum ini cocok di kulit aku yang berminyak,serum di bungkus bubble wrap rapi kemarin deh coba serum ini cocok di kulit aku yang berminyak
79,belum di coba tapi packing aman,belum di coba tapi packing aman
80,masalah kulitku jerawat,masalah kulitku jerawat
81,tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan tipe kulitku sensitif masalah kulitku pori besar,tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan tipe kulitku sensitif masalah kulitku pori besar
