,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
164,belum di coba liat review nya bagus jadi tertarik untuk coba,belum di coba lihat review nya bagus jadi tertarik untuk coba,"['belum', 'di', 'coba', 'lihat', 'review', 'nya', 'bagus', 'jadi', 'tertarik', 'untuk', 'coba']","['coba', 'lihat', 'review', 'nya', 'bagus', 'tertarik', 'coba']","['coba', 'lihat', 'review', 'nya', 'bagus', 'tarik', 'coba']"
165,produknya bagus tapi bau sulfurnya kecium banget nempel di bed sheet,produknya bagus tapi bau sulfurnya kecium banget menempel di bed sheet,"['produknya', 'bagus', 'tapi', 'bau', 'sulfurnya', 'kecium', 'banget', 'menempel', 'di', 'bed', 'sheet']","['produknya', 'bagus', 'bau', 'sulfurnya', 'kecium', 'banget', 'menempel', 'bed', 'sheet']","['produk', 'bagus', 'bau', 'sulfur', 'cium', 'banget', 'tempel', 'bed', 'sheet']"
166,paket sesuai pesanan barangnya juga masih tersegel kecewanya seller lama respon,paket sesuai pesanan barangnya juga masih tersegel kecewanya seller lama respon,"['paket', 'sesuai', 'pesanan', 'barangnya', 'juga', 'masih', 'tersegel', 'kecewanya', 'seller', 'lama', 'respon']","['paket', 'sesuai', 'pesanan', 'barangnya', 'tersegel', 'kecewanya', 'seller', 'respon']","['paket', 'sesuai', 'pesan', 'barang', 'segel', 'kecewa', 'seller', 'respon']"
167,pipi jadi merona ukurannya compact,pipi jadi merona ukurannya compact,"['pipi', 'jadi', 'merona', 'ukurannya', 'compact']","['pipi', 'merona', 'ukurannya', 'compact']","['pipi', 'rona', 'ukur', 'compact']"
168,liat review para acne fighter katanya ini bagus makanya mau nyoba so far jerawatku udah mayan reda semoga hilang pake ini sisanya,lihat review para acne fighter katanya ini bagus makanya mau mencoba so far jerawatku sudah lumayan reda semoga hilang pakai ini sisanya,"['lihat', 'review', 'para', 'acne', 'fighter', 'katanya', 'ini', 'bagus', 'makanya', 'mau', 'mencoba', 'so', 'far', 'jerawatku', 'sudah', 'lumayan', 'reda', 'semoga', 'hilang', 'pakai', 'ini', 'sisanya']","['lihat', 'review', 'acne', 'fighter', 'bagus', 'mencoba', 'so', 'far', 'jerawatku', 'lumayan', 'reda', 'semoga', 'hilang', 'pakai', 'sisanya']","['lihat', 'review', 'acne', 'fighter', 'bagus', 'coba', 'so', 'far', 'jerawat', 'lumayan', 'reda', 'moga', 'hilang', 'pakai', 'sisa']"
169,barang sampai dengan selamat dipake sekitar harian jerawat lgsg kempes tp daya simpannya terhitung terlalu sebentar cuma bulan setelah dibuka kurang cocok buat yg mau ngobatin jerawatnya kalau ada sedikit dan jarang sama pas pertama pakai agak susah diaplikasiin ke wajah tp bsknya udh mulai gampang kok thank  seller sukses selau,barang sampai dengan selamat dipakai sekitar harian jerawat langsung kempes tapi daya simpannya terhitung terlalu sebentar cuma bulan setelah dibuka kurang cocok buat yang mau ngobatin jerawatnya kalau ada sedikit dan jarang sama pas pertama pakai agak susah diaplikasiin ke wajah tapi bsknya sudah mulai gampang kok thank  seller sukses selau,"['barang', 'sampai', 'dengan', 'selamat', 'dipakai', 'sekitar', 'harian', 'jerawat', 'langsung', 'kempes', 'tapi', 'daya', 'simpannya', 'terhitung', 'terlalu', 'sebentar', 'cuma', 'bulan', 'setelah', 'dibuka', 'kurang', 'cocok', 'buat', 'yang', 'mau', 'ngobatin', 'jerawatnya', 'kalau', 'ada', 'sedikit', 'dan', 'jarang', 'sama', 'pas', 'pertama', 'pakai', 'agak', 'susah', 'diaplikasiin', 'ke', 'wajah', 'tapi', 'bsknya', 'sudah', 'mulai', 'gampang', 'kok', 'thank', 'seller', 'sukses', 'selau']","['barang', 'selamat', 'dipakai', 'harian', 'jerawat', 'langsung', 'kempes', 'daya', 'simpannya', 'terhitung', 'sebentar', 'dibuka', 'cocok', 'ngobatin', 'jerawatnya', 'jarang', 'pas', 'pakai', 'susah', 'diaplikasiin', 'wajah', 'bsknya', 'gampang', 'thank', 'seller', 'sukses', 'selau']","['barang', 'selamat', 'pakai', 'hari', 'jerawat', 'langsung', 'kempes', 'daya', 'simpan', 'hitung', 'sebentar', 'buka', 'cocok', 'ngobatin', 'jerawat', 'jarang', 'pas', 'pakai', 'susah', 'diaplikasiin', 'wajah', 'bsknya', 'gampang', 'thank', 'seller', 'sukses', 'selau']"
170,untuk jerawat kecil bisa kempes harian namun untuk jerawat besar bisa minggu,untuk jerawat kecil bisa kempes harian namun untuk jerawat besar bisa minggu,"['untuk', 'jerawat', 'kecil', 'bisa', 'kempes', 'harian', 'namun', 'untuk', 'jerawat', 'besar', 'bisa', 'minggu']","['jerawat', 'kempes', 'harian', 'jerawat', 'minggu']","['jerawat', 'kempes', 'hari', 'jerawat', 'minggu']"
171,ya mending beli yg gede sekalian sih saran saya ini ga worth it bgt rb trs isinya banyakan udara nya saya beli yg kecil krna niat nya nyoba dlu takut ga cocok smoga cocok kalo cocok bru ntr saya beli yg gede,ya mending beli yang gede sekalian sih saran saya ini enggak worth itu banget ribu terus isinya banyakan udara nya saya beli yang kecil karena niat nya mencoba dulu takut enggak cocok semoga cocok kalo cocok baru entar saya beli yang gede,"['ya', 'mending', 'beli', 'yang', 'gede', 'sekalian', 'sih', 'saran', 'saya', 'ini', 'enggak', 'worth', 'itu', 'banget', 'ribu', 'terus', 'isinya', 'banyakan', 'udara', 'nya', 'saya', 'beli', 'yang', 'kecil', 'karena', 'niat', 'nya', 'mencoba', 'dulu', 'takut', 'enggak', 'cocok', 'semoga', 'cocok', 'kalo', 'cocok', 'baru', 'entar', 'saya', 'beli', 'yang', 'gede']","['ya', 'mending', 'beli', 'gede', 'sih', 'saran', 'worth', 'banget', 'ribu', 'isinya', 'banyakan', 'udara', 'nya', 'beli', 'niat', 'nya', 'mencoba', 'takut', 'cocok', 'semoga', 'cocok', 'kalo', 'cocok', 'entar', 'beli', 'gede']","['ya', 'mending', 'beli', 'gede', 'sih', 'saran', 'worth', 'banget', 'ribu', 'isi', 'banyak', 'udara', 'nya', 'beli', 'niat', 'nya', 'coba', 'takut', 'cocok', 'moga', 'cocok', 'kalo', 'cocok', 'entar', 'beli', 'gede']"
172,so far skingame emang obat totol paling bagus yang pernah ku pakai tp ini kenapa gedenya beda dr yang lama ya padahal isinya sama gr,so far skingame memang obat totol paling bagus yang pernah ku pakai tapi ini kenapa gedenya beda dari yang lama ya padahal isinya sama gram,"['so', 'far', 'skingame', 'memang', 'obat', 'totol', 'paling', 'bagus', 'yang', 'pernah', 'ku', 'pakai', 'tapi', 'ini', 'kenapa', 'gedenya', 'beda', 'dari', 'yang', 'lama', 'ya', 'padahal', 'isinya', 'sama', 'gram']","['so', 'far', 'skingame', 'obat', 'totol', 'bagus', 'ku', 'pakai', 'gedenya', 'beda', 'ya', 'isinya', 'gram']","['so', 'far', 'skingame', 'obat', 'totol', 'bagus', 'ku', 'pakai', 'gede', 'beda', 'ya', 'isi', 'gram']"
173,first buy cukup melembapkan perlu waktu buat menyerap mungkin karena tekstur gelnya kali ya mayang gede karena ml semoga bagus untuk acne prone oily skin aku ya agak nyebelin dipengirimannya cuz lamaaa pake banget,first buy cukup melembapkan perlu waktu buat menyerap mungkin karena tekstur gelnya kali ya mayang gede karena ml semoga bagus untuk acne prone oily skin aku ya agak menyebalkan dipengirimannya cuz lama pakai banget,"['first', 'buy', 'cukup', 'melembapkan', 'perlu', 'waktu', 'buat', 'menyerap', 'mungkin', 'karena', 'tekstur', 'gelnya', 'kali', 'ya', 'mayang', 'gede', 'karena', 'ml', 'semoga', 'bagus', 'untuk', 'acne', 'prone', 'oily', 'skin', 'aku', 'ya', 'agak', 'menyebalkan', 'dipengirimannya', 'cuz', 'lama', 'pakai', 'banget']","['first', 'buy', 'melembapkan', 'menyerap', 'tekstur', 'gelnya', 'kali', 'ya', 'mayang', 'gede', 'ml', 'semoga', 'bagus', 'acne', 'prone', 'oily', 'skin', 'ya', 'menyebalkan', 'dipengirimannya', 'cuz', 'pakai', 'banget']","['first', 'buy', 'lembap', 'serap', 'tekstur', 'gel', 'kali', 'ya', 'mayang', 'gede', 'ml', 'moga', 'bagus', 'acne', 'prone', 'oily', 'skin', 'ya', 'sebal', 'kirim', 'cuz', 'pakai', 'banget']"
174,masih sedikit agak ketarik setelah cuci muka walaupun gk ketarik bgt bgt,masih sedikit agak tertarik setelah cuci muka walaupun enggak tertarik banget banget,"['masih', 'sedikit', 'agak', 'tertarik', 'setelah', 'cuci', 'muka', 'walaupun', 'enggak', 'tertarik', 'banget', 'banget']","['tertarik', 'cuci', 'muka', 'tertarik', 'banget', 'banget']","['tarik', 'cuci', 'muka', 'tarik', 'banget', 'banget']"
175,overall puas sih admin cs nya ramah dan fast respon pengiriman juga cepet cuman aku kurang sreg sama packingnya cuma kardus dan itupun kegedean mungkin karna kemasan moist nya bukan kaca ya tapi kek kurang sreg aja apalagi ini kan official store ya semoga kedepannya packingnya juga lebih diperhatikan lagi terima kasih,overall puas sih admin customer service nya ramah dan fast respon pengiriman juga cepat cuman aku kurang sreg sama packingnya cuma kardus dan itupun kegedean mungkin karena kemasan moist nya bukan kaca ya tapi kayak kurang sreg saja apalagi ini kan official store ya semoga kedepannya packingnya juga lebih diperhatikan lagi terima kasih,"['overall', 'puas', 'sih', 'admin', 'customer', 'service', 'nya', 'ramah', 'dan', 'fast', 'respon', 'pengiriman', 'juga', 'cepat', 'cuman', 'aku', 'kurang', 'sreg', 'sama', 'packingnya', 'cuma', 'kardus', 'dan', 'itupun', 'kegedean', 'mungkin', 'karena', 'kemasan', 'moist', 'nya', 'bukan', 'kaca', 'ya', 'tapi', 'kayak', 'kurang', 'sreg', 'saja', 'apalagi', 'ini', 'kan', 'official', 'store', 'ya', 'semoga', 'kedepannya', 'packingnya', 'juga', 'lebih', 'diperhatikan', 'lagi', 'terima', 'kasih']","['overall', 'puas', 'sih', 'admin', 'customer', 'service', 'nya', 'ramah', 'fast', 'respon', 'pengiriman', 'cepat', 'cuman', 'sreg', 'packingnya', 'kardus', 'itupun', 'kegedean', 'kemasan', 'moist', 'nya', 'kaca', 'ya', 'kayak', 'sreg', 'official', 'store', 'ya', 'semoga', 'kedepannya', 'packingnya', 'diperhatikan', 'terima', 'kasih']","['overall', 'puas', 'sih', 'admin', 'customer', 'service', 'nya', 'ramah', 'fast', 'respon', 'kirim', 'cepat', 'cuman', 'sreg', 'packingnya', 'kardus', 'itu', 'gede', 'kemas', 'moist', 'nya', 'kaca', 'ya', 'kayak', 'sreg', 'official', 'store', 'ya', 'moga', 'depan', 'packingnya', 'perhati', 'terima', 'kasih']"
176,barang dikirim tanpa bubble wrap sama sekali langsung dimasukkan ke kardusnya kardusnya juga basah untungnya barang masih aman,barang dikirim tanpa bubble wrap sama sekali langsung dimasukkan ke kardusnya kardusnya juga basah untungnya barang masih aman,"['barang', 'dikirim', 'tanpa', 'bubble', 'wrap', 'sama', 'sekali', 'langsung', 'dimasukkan', 'ke', 'kardusnya', 'kardusnya', 'juga', 'basah', 'untungnya', 'barang', 'masih', 'aman']","['barang', 'dikirim', 'bubble', 'wrap', 'langsung', 'dimasukkan', 'kardusnya', 'kardusnya', 'basah', 'untungnya', 'barang', 'aman']","['barang', 'kirim', 'bubble', 'wrap', 'langsung', 'masuk', 'kardus', 'kardus', 'basah', 'untung', 'barang', 'aman']"
177,saya merasa hanya menghidrasi beberapa jam saja,saya merasa hanya menghidrasi beberapa jam saja,"['saya', 'merasa', 'hanya', 'menghidrasi', 'beberapa', 'jam', 'saja']","['menghidrasi', 'jam']","['hidrasi', 'jam']"
178,walaupun engga di bubble wrap tapi kardusnya tebel sih sampai dengan aman,walaupun enggak di bubble wrap tapi kardusnya tebal sih sampai dengan aman,"['walaupun', 'enggak', 'di', 'bubble', 'wrap', 'tapi', 'kardusnya', 'tebal', 'sih', 'sampai', 'dengan', 'aman']","['bubble', 'wrap', 'kardusnya', 'tebal', 'sih', 'aman']","['bubble', 'wrap', 'kardus', 'tebal', 'sih', 'aman']"
179,beli ini di tahun baru krn katanya dapat free moist aku udah order dr jam malem teng tapi gak dapet free moistnya,beli ini di tahun baru karena katanya dapat free moist aku sudah order dari jam malam teng tapi enggak dapat free moistnya,"['beli', 'ini', 'di', 'tahun', 'baru', 'karena', 'katanya', 'dapat', 'free', 'moist', 'aku', 'sudah', 'order', 'dari', 'jam', 'malam', 'teng', 'tapi', 'enggak', 'dapat', 'free', 'moistnya']","['beli', 'free', 'moist', 'order', 'jam', 'malam', 'teng', 'free', 'moistnya']","['beli', 'free', 'moist', 'order', 'jam', 'malam', 'teng', 'free', 'moistnya']"
