,Review,Review_norm,review_tokens
420,katanya po hari  taunya hari setelah pesan sudah sampai rumah senang banget sih gak sabar cobain produknya semoga cocok,katanya pre order hari  taunya hari setelah pesan sudah sampai rumah senang banget sih enggak sabar mencoba produknya semoga cocok,"['katanya', 'pre', 'order', 'hari', 'taunya', 'hari', 'setelah', 'pesan', 'sudah', 'sampai', 'rumah', 'senang', 'banget', 'sih', 'enggak', 'sabar', 'mencoba', 'produknya', 'semoga', 'cocok']"
421,pengiriman super cepett,pengiriman super cepat,"['pengiriman', 'super', 'cepat']"
422,baru pertama kali mau coba semoga cocok pengemasannya mantul thankyouuu,baru pertama kali mau coba semoga cocok pengemasannya mantul thank you,"['baru', 'pertama', 'kali', 'mau', 'coba', 'semoga', 'cocok', 'pengemasannya', 'mantul', 'thank', 'you']"
423,order kmrn siang siang ini udah smp daebak semoga cocok karena baru pertama kali coba,order kemarin siang siang ini sudah sampai daebak semoga cocok karena baru pertama kali coba,"['order', 'kemarin', 'siang', 'siang', 'ini', 'sudah', 'sampai', 'daebak', 'semoga', 'cocok', 'karena', 'baru', 'pertama', 'kali', 'coba']"
424,aku terima barang dengan packaging yang rusak begitu klaim ke pihak sg nya gak pake banyak tanya dan prosedur yang ribet udah langsung dikirim yang baru luv banget pokoknya thank you for taking care of your customer,aku terima barang dengan packaging yang rusak begitu klaim ke pihak sg nya enggak pakai banyak tanya dan prosedur yang ribet sudah langsung dikirim yang baru love banget pokoknya thank you for taking care of your customer,"['aku', 'terima', 'barang', 'dengan', 'packaging', 'yang', 'rusak', 'begitu', 'klaim', 'ke', 'pihak', 'sg', 'nya', 'enggak', 'pakai', 'banyak', 'tanya', 'dan', 'prosedur', 'yang', 'ribet', 'sudah', 'langsung', 'dikirim', 'yang', 'baru', 'love', 'banget', 'pokoknya', 'thank', 'you', 'for', 'taking', 'care', 'of', 'your', 'customer']"
425,pasta banget baru mau coba pakai moga cocok,pasta banget baru mau coba pakai moga cocok,"['pasta', 'banget', 'baru', 'mau', 'coba', 'pakai', 'moga', 'cocok']"
426,barang sampai sesuai pesanan dan dpt free sample makasii,barang sampai sesuai pesanan dan dapat free sample terima kasih,"['barang', 'sampai', 'sesuai', 'pesanan', 'dan', 'dapat', 'free', 'sample', 'terima', 'kasih']"
427,baru beberapa kali pakai sepertinya cocok jerawat yg kecil kecil jadi cepat mengering,baru beberapa kali pakai sepertinya cocok jerawat yang kecil kecil jadi cepat mengering,"['baru', 'beberapa', 'kali', 'pakai', 'sepertinya', 'cocok', 'jerawat', 'yang', 'kecil', 'kecil', 'jadi', 'cepat', 'mengering']"
428,udah pake ini dari dulu cocok bikin muka lembab kalo abis cuci muka,sudah pakai ini dari dulu cocok bikin muka lembab kalo habis cuci muka,"['sudah', 'pakai', 'ini', 'dari', 'dulu', 'cocok', 'bikin', 'muka', 'lembab', 'kalo', 'habis', 'cuci', 'muka']"
429,cepat meresap cocok di kulit berminyak,cepat meresap cocok di kulit berminyak,"['cepat', 'meresap', 'cocok', 'di', 'kulit', 'berminyak']"
430,barang sudah diterima ok,barang sudah diterima ok,"['barang', 'sudah', 'diterima', 'ok']"
431,cepat meresap cocok di kulit kombinasi kemasannya lucu,cepat meresap cocok di kulit kombinasi kemasannya lucu,"['cepat', 'meresap', 'cocok', 'di', 'kulit', 'kombinasi', 'kemasannya', 'lucu']"
432,pengemasan dan pengiriman cepet pas nyampe ke rumah langsung nyobain barangnya ga kerasa cekat cekit dan beneran ampuh buat jerawat,pengemasan dan pengiriman cepat pas sampai ke rumah langsung mencoba barangnya enggak kerasa cekat cekit dan benaran ampuh buat jerawat,"['pengemasan', 'dan', 'pengiriman', 'cepat', 'pas', 'sampai', 'ke', 'rumah', 'langsung', 'mencoba', 'barangnya', 'enggak', 'kerasa', 'cekat', 'cekit', 'dan', 'benaran', 'ampuh', 'buat', 'jerawat']"
433,desainnya lucu,desainnya lucu,"['desainnya', 'lucu']"
434,cepat meresap,cepat meresap,"['cepat', 'meresap']"
435,kulit jadi tampak sehat desainnya elegan aplikator mudah dipakai,kulit jadi tampak sehat desainnya elegan aplikator mudah dipakai,"['kulit', 'jadi', 'tampak', 'sehat', 'desainnya', 'elegan', 'aplikator', 'mudah', 'dipakai']"
436,semoga cocok dikulitku,semoga cocok dikulitku,"['semoga', 'cocok', 'dikulitku']"
