,Review
155,cepat banget nyampenya pesan kemarin hari ini sudah datang aja baru pertama kali pakai produk somethinc semoga cocok untuk wajahku dan bikin glowing tipe kulitku berminyak
156,penipu
157,saya belum coba lama produk nya baru sekitar hari tapi rasanya nyaman nyaman saja admin fast respon dan packaging ok dibuatkan seolah barang premium
158,mantapp barangnya sdh diterima yoooo smoga berguna
159,produk sesuai deskripsi pack aman dan cepaat mantap
160,proses cepat pengiriman cepat produk sesuai terima kasih
161,dapet harga rb yeaaaay
162,packaging rapi dan niat padahal cm beli eyeliner
163,baru coba semoga cocok shade nina ini kalau moisturizer nya sudah andalan banget tipe kulitku berminyak tipe kulitku kombinasi under tone kulitku netral
164,pas untuk tipe kulitku kombinasi under tone kulitku warm
165,barangnya sudah datang dengan selamat semoga cocok di kulit aku
166,dpt potongan harga plus dikasih bonus penjepit bulu mata terimakasih somethinc
167,facial wash favorit membersihkan dgn baik tidak bikin kulit kering
168,beli banyak pcs murah satuan jadi ribuan tapi sayang ed awal gak ada di deskripsi
169,barang diterima dengan baik kurir cepat dan terima kasih bonusnya
170,yeayyy finally sampai juga packing aman dan rapih lumayan dapat potongan harga terima kasih seller
171,aplikasinya mudah ga mbleber dan ujungnya runcing warnanya jg jetblack love it
172,sampenya cepet cuma seharii
173,under tone kulitku cool tipe kulitku kombinasi lipsticknya beneran transferproof sangat matte dan light recommended for daily use juga karena lumayan tahan lama sunscreennya berat untuk ukuran sunscreen tp lighter than foundie finishingnya dewy dan coveragenya average easy to blend dan kalau udah set gak terlalu transfer
174,paket aman ga ada kerusakan
175,kulit ku kering  zone dan minyakan di  zone semoga cocok ga bikin makin berminyak soalnya sama cushion nya aku cocok bgt
176,lagi diskon parahhh cus langsung belii karna emang bener bagus dan waterproof packaging nya keren aman bgt padahal pensil aja gitu tapi kotak nya kek paket skincare
177,si lokal yg okeeee happy krn smua serum yg kupake cucok
