,Review,Review_norm,review_tokens
360,cocok sama kulitku light banget sih formulanya dapet freebie giveaway juga,cocok sama kulitku light banget sih formulanya dapat freebie giveaway juga,"['cocok', 'sama', 'kulitku', 'light', 'banget', 'sih', 'formulanya', 'dapat', 'freebie', 'giveaway', 'juga']"
361,produk yg terbaru ini lebih bagus lebih bisa blend ke kulit ketimbang yg saya beli awal,produk yang terbaru ini lebih bagus lebih bisa blend ke kulit ketimbang yang saya beli awal,"['produk', 'yang', 'terbaru', 'ini', 'lebih', 'bagus', 'lebih', 'bisa', 'blend', 'ke', 'kulit', 'ketimbang', 'yang', 'saya', 'beli', 'awal']"
362,awalnya coba pakai ternyata mayan cocok suka banget sama produknya,awalnya coba pakai ternyata lumayan cocok suka banget sama produknya,"['awalnya', 'coba', 'pakai', 'ternyata', 'lumayan', 'cocok', 'suka', 'banget', 'sama', 'produknya']"
363,sesuai foto,sesuai foto,"['sesuai', 'foto']"
364,bagus ringan,bagus ringan,"['bagus', 'ringan']"
365,barang berkualitas,barang berkualitas,"['barang', 'berkualitas']"
366,barang berkualitas dan paket diterima dengan baik,barang berkualitas dan paket diterima dengan baik,"['barang', 'berkualitas', 'dan', 'paket', 'diterima', 'dengan', 'baik']"
367,packing aman barangnya juga ori skin game masih nyobain mudah mudahan cocok,packing aman barangnya juga orisinal skin game masih mencoba mudah mudahan cocok,"['packing', 'aman', 'barangnya', 'juga', 'orisinal', 'skin', 'game', 'masih', 'mencoba', 'mudah', 'mudahan', 'cocok']"
368,cocok banget pakai iniii mau beli sama kind tonernya juga tapi abis,cocok banget pakai ini mau beli sama kind tonernya juga tapi habis,"['cocok', 'banget', 'pakai', 'ini', 'mau', 'beli', 'sama', 'kind', 'tonernya', 'juga', 'tapi', 'habis']"
369,masih sedikit agak ketarik setelah cuci muka walaupun gk ketarik bgt bgt,masih sedikit agak tertarik setelah cuci muka walaupun enggak tertarik banget banget,"['masih', 'sedikit', 'agak', 'tertarik', 'setelah', 'cuci', 'muka', 'walaupun', 'enggak', 'tertarik', 'banget', 'banget']"
370,mantap cuy rasanya kaya nano nano,mantap cuy rasanya kayak nano nano,"['mantap', 'cuy', 'rasanya', 'kayak', 'nano', 'nano']"
371,bagus pengiriman oke dapet hadiah hair mask ,bagus pengiriman oke dapat hadiah hair mask ,"['bagus', 'pengiriman', 'oke', 'dapat', 'hadiah', 'hair', 'mask']"
