,Review,Review_norm,review_tokens,review_tokens_SR
155,produk ok pemakaian hari minggu berasa banget bedanya spot bekas jerawat memudar berasa lebih kinclong,produk ok pemakaian hari minggu berasa banget bedanya spot bekas jerawat memudar berasa lebih kinclong,"['produk', 'ok', 'pemakaian', 'hari', 'minggu', 'berasa', 'banget', 'bedanya', 'spot', 'bekas', 'jerawat', 'memudar', 'berasa', 'lebih', 'kinclong']","['produk', 'pemakaian', 'hari', 'minggu', 'berasa', 'banget', 'bedanya', 'spot', 'bekas', 'jerawat', 'memudar', 'berasa', 'lebih', 'kinclong']"
156,tekstur gel isi banyak jadi awet ringan tapi tetep melembabkan cocok buat all skin type tapi oily skin pasti suka,tekstur gel isi banyak jadi awet ringan tapi tetap melembabkan cocok buat all skin type tapi oily skin pasti suka,"['tekstur', 'gel', 'isi', 'banyak', 'jadi', 'awet', 'ringan', 'tapi', 'tetap', 'melembabkan', 'cocok', 'buat', 'all', 'skin', 'type', 'tapi', 'oily', 'skin', 'pasti', 'suka']","['tekstur', 'gel', 'isi', 'banyak', 'jadi', 'awet', 'ringan', 'tetap', 'melembabkan', 'cocok', 'buat', 'all', 'skin', 'type', 'oily', 'skin', 'suka']"
157,dikasih rekomendasi dr sodara buat nyoba obat jerawat yg ini seller fast respond barang jg sampai dg selamat recommended,dikasih rekomendasi dari sodara buat mencoba obat jerawat yang ini seller fast respond barang juga sampai dengan selamat recommended,"['dikasih', 'rekomendasi', 'dari', 'sodara', 'buat', 'mencoba', 'obat', 'jerawat', 'yang', 'ini', 'seller', 'fast', 'respond', 'barang', 'juga', 'sampai', 'dengan', 'selamat', 'recommended']","['dikasih', 'rekomendasi', 'sodara', 'buat', 'mencoba', 'obat', 'jerawat', 'seller', 'fast', 'respond', 'barang', 'selamat', 'recommended']"
158,baru mau coba semoga cocok dan hasilnya sesuai yang diharapkan,baru mau coba semoga cocok dan hasilnya sesuai yang diharapkan,"['baru', 'mau', 'coba', 'semoga', 'cocok', 'dan', 'hasilnya', 'sesuai', 'yang', 'diharapkan']","['baru', 'mau', 'coba', 'semoga', 'cocok', 'hasilnya', 'sesuai', 'diharapkan']"
159,yeay akhirnya repurchase toe makasii udah dikasih bonus jajan,yeay akhirnya repurchase toe terima kasih sudah dikasih bonus jajan,"['yeay', 'akhirnya', 'repurchase', 'toe', 'terima', 'kasih', 'sudah', 'dikasih', 'bonus', 'jajan']","['yeay', 'akhirnya', 'repurchase', 'toe', 'terima', 'kasih', 'dikasih', 'bonus', 'jajan']"
160,sampai tepat waktu semoga cocok di saya trims,sampai tepat waktu semoga cocok di saya terima kasih,"['sampai', 'tepat', 'waktu', 'semoga', 'cocok', 'di', 'saya', 'terima', 'kasih']","['tepat', 'waktu', 'semoga', 'cocok', 'terima', 'kasih']"
161,respon penjual cepat packaging bagus dan aman dgn bubble wrap tebal jadi yakin barang aman ga kena guncang barang bagus dan bersih mulus walaupun selalu ikiut po tapi selalu lebih cepat dari perkiraan po puas banget pake moisturier ini makasih,respon penjual cepat packaging bagus dan aman dengan bubble wrap tebal jadi yakin barang aman enggak kena guncang barang bagus dan bersih mulus walaupun selalu ikiut pre order tapi selalu lebih cepat dari perkiraan pre order puas banget pakai moisturier ini terima kasih,"['respon', 'penjual', 'cepat', 'packaging', 'bagus', 'dan', 'aman', 'dengan', 'bubble', 'wrap', 'tebal', 'jadi', 'yakin', 'barang', 'aman', 'enggak', 'kena', 'guncang', 'barang', 'bagus', 'dan', 'bersih', 'mulus', 'walaupun', 'selalu', 'ikiut', 'pre', 'order', 'tapi', 'selalu', 'lebih', 'cepat', 'dari', 'perkiraan', 'pre', 'order', 'puas', 'banget', 'pakai', 'moisturier', 'ini', 'terima', 'kasih']","['respon', 'penjual', 'cepat', 'packaging', 'bagus', 'aman', 'bubble', 'wrap', 'tebal', 'jadi', 'yakin', 'barang', 'aman', 'enggak', 'kena', 'guncang', 'barang', 'bagus', 'bersih', 'mulus', 'walaupun', 'selalu', 'ikiut', 'pre', 'order', 'selalu', 'lebih', 'cepat', 'perkiraan', 'pre', 'order', 'puas', 'banget', 'pakai', 'moisturier', 'terima', 'kasih']"
162,baru mau coba pembelanjaan bundle lbh hemat seller ramah paket diterima dg baik semoga cocok,baru mau coba pembelanjaan bundle lebih hemat seller ramah paket diterima dengan baik semoga cocok,"['baru', 'mau', 'coba', 'pembelanjaan', 'bundle', 'lebih', 'hemat', 'seller', 'ramah', 'paket', 'diterima', 'dengan', 'baik', 'semoga', 'cocok']","['baru', 'mau', 'coba', 'pembelanjaan', 'bundle', 'lebih', 'hemat', 'seller', 'ramah', 'paket', 'diterima', 'baik', 'semoga', 'cocok']"
163,pake ini jerawat langsung kempes,pakai ini jerawat langsung kempes,"['pakai', 'ini', 'jerawat', 'langsung', 'kempes']","['pakai', 'jerawat', 'langsung', 'kempes']"
164,baru coba mdhan bagus,baru coba mudah bagus,"['baru', 'coba', 'mudah', 'bagus']","['baru', 'coba', 'mudah', 'bagus']"
165,packing aman sih karena ditambahin kardus oleh penjualnya,packing aman sih karena ditambahin kardus oleh penjualnya,"['packing', 'aman', 'sih', 'karena', 'ditambahin', 'kardus', 'oleh', 'penjualnya']","['packing', 'aman', 'sih', 'ditambahin', 'kardus', 'penjualnya']"
166,pump nya macet,pump nya macet,"['pump', 'nya', 'macet']","['pump', 'nya', 'macet']"
167,teksturnya gel cepet menyerap kulit klo buat kulit berminyak cocok bgt mungkin klo yg kering kurang nampol atau hrs pakai layer so far oke gak bikin reaksi negatif produknya gk neko ya buat melembabkan tok ml bs buat bulanan sih nih hemat sekaleee thanks seller,teksturnya gel cepat menyerap kulit kalo buat kulit berminyak cocok banget mungkin kalo yang kering kurang nampol atau harus pakai layer so far oke enggak bikin reaksi negatif produknya enggak neko ya buat melembabkan tok ml bisa buat bulanan sih nih hemat sekaleee thanks seller,"['teksturnya', 'gel', 'cepat', 'menyerap', 'kulit', 'kalo', 'buat', 'kulit', 'berminyak', 'cocok', 'banget', 'mungkin', 'kalo', 'yang', 'kering', 'kurang', 'nampol', 'atau', 'harus', 'pakai', 'layer', 'so', 'far', 'oke', 'enggak', 'bikin', 'reaksi', 'negatif', 'produknya', 'enggak', 'neko', 'ya', 'buat', 'melembabkan', 'tok', 'ml', 'bisa', 'buat', 'bulanan', 'sih', 'nih', 'hemat', 'sekaleee', 'thanks', 'seller']","['teksturnya', 'gel', 'cepat', 'menyerap', 'kulit', 'kalo', 'buat', 'kulit', 'berminyak', 'cocok', 'banget', 'mungkin', 'kalo', 'kering', 'kurang', 'nampol', 'pakai', 'layer', 'so', 'far', 'oke', 'enggak', 'bikin', 'reaksi', 'negatif', 'produknya', 'enggak', 'neko', 'buat', 'melembabkan', 'tok', 'ml', 'buat', 'bulanan', 'sih', 'nih', 'hemat', 'sekaleee', 'thanks', 'seller']"
168,ini paling favorit deh tipe kulitku ini sensitive berminyak dan acne prone setelah pemakaian seminggu kulit muka rasanya jadi lebih alus dan gak bikin minyakan banget best buy,ini paling favorit deh tipe kulitku ini sensitive berminyak dan acne prone setelah pemakaian seminggu kulit muka rasanya jadi lebih alus dan enggak bikin minyakan banget best buy,"['ini', 'paling', 'favorit', 'deh', 'tipe', 'kulitku', 'ini', 'sensitive', 'berminyak', 'dan', 'acne', 'prone', 'setelah', 'pemakaian', 'seminggu', 'kulit', 'muka', 'rasanya', 'jadi', 'lebih', 'alus', 'dan', 'enggak', 'bikin', 'minyakan', 'banget', 'best', 'buy']","['paling', 'favorit', 'deh', 'tipe', 'kulitku', 'sensitive', 'berminyak', 'acne', 'prone', 'pemakaian', 'seminggu', 'kulit', 'muka', 'rasanya', 'jadi', 'lebih', 'alus', 'enggak', 'bikin', 'minyakan', 'banget', 'best', 'buy']"
169,favorit deh,favorit deh,"['favorit', 'deh']","['favorit', 'deh']"
170,baru pertamakali nyoba,baru pertamakali mencoba,"['baru', 'pertamakali', 'mencoba']","['baru', 'pertamakali', 'mencoba']"
171,cepet bngeett dikirimnya karena po kupikir bakal lama thank you enak banget moisturizer ini rasanya seperti di basuh air sejuk dan tetap lembab,cepat banget dikirimnya karena pre order kupikir bakal lama thank you enak banget moisturizer ini rasanya seperti di basuh air sejuk dan tetap lembab,"['cepat', 'banget', 'dikirimnya', 'karena', 'pre', 'order', 'kupikir', 'bakal', 'lama', 'thank', 'you', 'enak', 'banget', 'moisturizer', 'ini', 'rasanya', 'seperti', 'di', 'basuh', 'air', 'sejuk', 'dan', 'tetap', 'lembab']","['cepat', 'banget', 'dikirimnya', 'pre', 'order', 'kupikir', 'bakal', 'lama', 'thank', 'you', 'enak', 'banget', 'moisturizer', 'rasanya', 'basuh', 'air', 'sejuk', 'tetap', 'lembab']"
172,buat kulit sensitif cocok kualitas oke jerawat ga membekas,buat kulit sensitif cocok kualitas oke jerawat enggak membekas,"['buat', 'kulit', 'sensitif', 'cocok', 'kualitas', 'oke', 'jerawat', 'enggak', 'membekas']","['buat', 'kulit', 'sensitif', 'cocok', 'kualitas', 'oke', 'jerawat', 'enggak', 'membekas']"
173,cocok buat kulit sensitif pakai rutin  saat ada jerawat kempes dan ga berbekas,cocok buat kulit sensitif pakai rutin  saat ada jerawat kempes dan enggak berbekas,"['cocok', 'buat', 'kulit', 'sensitif', 'pakai', 'rutin', 'saat', 'ada', 'jerawat', 'kempes', 'dan', 'enggak', 'berbekas']","['cocok', 'buat', 'kulit', 'sensitif', 'pakai', 'rutin', 'jerawat', 'kempes', 'enggak', 'berbekas']"
